0Q:acc 0.9428, nmi 0.8826, ari 0.8794, f1 0.9431
0Z:acc 0.5305, nmi 0.6040, ari 0.3947, f1 0.4414
0Z2:acc 0.5434, nmi 0.6386, ari 0.4210, f1 0.4504
0P:acc 0.9431, nmi 0.8829, ari 0.8801, f1 0.9434
1Q:acc 0.9420, nmi 0.8809, ari 0.8776, f1 0.9424
1Z:acc 0.5478, nmi 0.6120, ari 0.4347, f1 0.4349
1Z2:acc 0.5645, nmi 0.6356, ari 0.4611, f1 0.4451
1P:acc 0.9420, nmi 0.8807, ari 0.8777, f1 0.9424
2Q:acc 0.9416, nmi 0.8806, ari 0.8768, f1 0.9421
2Z:acc 0.5475, nmi 0.6205, ari 0.4469, f1 0.4322
2Z2:acc 0.5707, nmi 0.6619, ari 0.4874, f1 0.4496
2P:acc 0.9416, nmi 0.8806, ari 0.8769, f1 0.9420
3Q:acc 0.9418, nmi 0.8810, ari 0.8773, f1 0.9423
3Z:acc 0.4541, nmi 0.5821, ari 0.3966, f1 0.3299
3Z2:acc 0.4640, nmi 0.6137, ari 0.4182, f1 0.3315
3P:acc 0.9418, nmi 0.8808, ari 0.8774, f1 0.9423
4Q:acc 0.9421, nmi 0.8812, ari 0.8779, f1 0.9425
4Z:acc 0.4836, nmi 0.6103, ari 0.4191, f1 0.3701
4Z2:acc 0.4798, nmi 0.6273, ari 0.4276, f1 0.3623
4P:acc 0.9425, nmi 0.8815, ari 0.8787, f1 0.9428
5Q:acc 0.9421, nmi 0.8815, ari 0.8779, f1 0.9425
5Z:acc 0.5828, nmi 0.6844, ari 0.4985, f1 0.5000
5Z2:acc 0.5922, nmi 0.7036, ari 0.5142, f1 0.5099
5P:acc 0.9423, nmi 0.8814, ari 0.8784, f1 0.9427
6Q:acc 0.9422, nmi 0.8818, ari 0.8781, f1 0.9426
6Z:acc 0.6265, nmi 0.7294, ari 0.5549, f1 0.5421
6Z2:acc 0.6333, nmi 0.7445, ari 0.5661, f1 0.5495
6P:acc 0.9425, nmi 0.8820, ari 0.8787, f1 0.9429
7Q:acc 0.9421, nmi 0.8821, ari 0.8779, f1 0.9425
7Z:acc 0.6414, nmi 0.7391, ari 0.5736, f1 0.5552
7Z2:acc 0.6447, nmi 0.7541, ari 0.5803, f1 0.5600
7P:acc 0.9421, nmi 0.8817, ari 0.8779, f1 0.9425
8Q:acc 0.9419, nmi 0.8819, ari 0.8776, f1 0.9424
8Z:acc 0.6685, nmi 0.7147, ari 0.5588, f1 0.5964
8Z2:acc 0.6691, nmi 0.7307, ari 0.5668, f1 0.5963
8P:acc 0.9423, nmi 0.8824, ari 0.8784, f1 0.9427
9Q:acc 0.9418, nmi 0.8819, ari 0.8774, f1 0.9423
